Crop,Question,Answer
cassava,how much soil do I need to cover a stem in the ground?,Cover thinly
cassava,can a lot of plant cover affect cassava quality?,"Yes, a lot of plant cover affects cassava quality negatively"
cassava,what diseases affect cassava?,"Cassava mosaic virus disease (CMV), cassava brown streak virus disease (CBSV)"
cassava,how do I know that the cassava is ready for harvesting?,One year after planting   the cassava can be harvested
beans,how do I store beans properly after removing from the garden?,"First dry them well, apply seed dressing and keep them in silos"
beans,why are the beans turning yellow in the garden?,"This can be as a result of water logging, bean fly, fusarium root rot or nutrient deficiency"
beans,which organic manure can I use for beans?,"Apply cow dung, chicken dropping, goat dung or compost"
maize,how can I test seeds for germination locally?,Carry out a seed germination test
maize,how can I plant seeds with a low germination rate?,Plant many seeds per hole
maize,what is putting holes on the maize stem?,Fall armyworm or stem borers
maize,how do I determine a good maize seed for planting?,"The seeds should have no holes, well dried and no moulds on them"
maize,why is hybrid so much affected by caterpillars?,They are bred for high yielding but not made resistant to pests
maize,why should I plant hybrid in this region?,It grows well in most environments
maize,does the yeild vary when I use hand plough and when I used something else?,"No, it does not vary as long as appropriate agronomic practices are followed"
cassava,how do I separate a local breed stem from an improved breed stem?,"it can be differentiated using the colour, length between buds, height of the stem"
cassava,why is hybrid cassava not producing good yields here?,Due to pests and diseases
cassava,what makes cassava taste bitter?,High cyanide content
cassava,what month is good for planting cassava?,April in the first season and September in the second season
cassava,how can I prevent animals from entering the garden?,By fencing the garden
beans,what variety is good to plant here?,"Location may affect the yield of beans but Nabe 16, naro bean 3, 6, 7 can perform well in most locations"
beans,what makes black beans get bad so easily when kept after cooking?,Due to  high protein content
beans,where can I get market for beans?,Seed companies and urban traders
beans,how can I plant beans without spraying?,Plant at the start of the rainy season but yields will be low without spraying
beans,is hybrid resistant to pest and diseases?,"No, they are not resistant to pests and diseases"
beans,which weather is good for planting beans?,Rainy season
beans,how can I determine good beans for planting?,By carrying out a seed germination test
beans,how do I store seeds for planting in the next season?,"Dry them well and keep them in silos, alternatively, carryout seed dressing"
beans,why do bean seeds go bad when put on the floor,They absorb moisture which increases their moisture content causing them to rot
beans,why do I have very many caterpillars in my beans garden?,This happens if you've not yet sprayed the garden and there are weeds in the garden.
beans,can I weed my garden only once after planting beans?,"No, you have to weed twice"
cassava,"what happens if I plant stems with some damages, can it still grow?","Yes, they can grow but it is not advisable"
cassava,when is the best month for planting cassava,April in the first season and September in the second season
cassava,how many times should I weed my cassava garden?,Three times
maize,why do the bought seeds get so easily affected by caterpillars?,They are hybrids bred for high yielding but not made resistant to pests
maize,can I use soil to kill the caterpillars in the maize cob?,"No, soil does not kill caterpillars "
maize,how long should I wait to plant a crop in between maize?,Plant at the same time the maize is planted
cassava,how do I detect an infected stem?,Look out for brown streaks on the stem
cassava,how can I determine a good stem for planting?,It should be mature without any brown streaks and not damaged
cassava,are there some stems that are resistant to pests?,No
cassava,why is the cassava having a lot of fibres?,This is an effect of cassava brown streak virus
beans,why are the bean seeds not germinating even at good weather conditions?,This can be a result of seed dormancy or the seeds were stored poorly
beans,how many seeds can I plant in a hole?,The ideal seed rate is 2 seeds per hole
beans,Can the chemical used for storing affect seed germination?,"No, it does not affect germination"
maize,how can I control maize weevils?,By storing maize in silos and by seed dressing the seeds to avoid breeding of pests
maize,how can I store maize to avoid weevils?,Store maize in silos and you can also do seed dressing  to prevent breeeding of pests
maize,how can I determine a good maize seed for planting by seeing using my eyes?,"It should have no holes, no fungal growth and should be well dried"
cassava,what makes the cassava to rot?,Water logging or damage to the roots 
cassava,Do I need to put the cassava stem in the sun for some time before planting?,"Yes, it stimulates sprouting"
cassava,what happens if I don't cover the whole stem during planting?,"Some parts of the stem will dry up, it can also be eaten by animals"
cassava,what can be wrong with the stem if it doesn't germinate after two weeks?,It is either rotting or it is destroyed by termites
cassava,can I use a chemical to kill weeds in my cassava garden?,"Yes, some herbicides are selective"
cassava,do I need to dig the garden twice before planting?,"Yes, it creates a fine seed bed"
beans,what happens if I plant bean seeds that have not dried properly?,They will not germinate because the moisture content will be high which will cause the bean seeds to rot
beans,do I need to wait for much rain to plant beans?,"No, planting beans should be at the start of the rains"
beans,what chemical is good for spraying beans?,"Most chemicals are good for example Rocket, cypermethrin, dudu cyper, imidacloprid, etc"
maize,what is the best spacing for planting maize?,30cmx75cm
maize,how many times can I weed maize?,"Preferebly, two times"
maize,when should I do the first and second weeding?,First weeding is done in 3 weeks after planting and second weeding is a month after first weeding
maize,can I plant hybrid without spraying?,"No, hybrids are also attacked by pests and diseases"
maize,when should I spray maize in the garden?,One month after planting
maize,why are the maize leaves turning red?,This is an effect of a lot of sugar concentration in the leaves
maize,how can I prevent the caterpillars from eating the maize comb?,Spray the garden with pesticides
beans,why are some beans drying up and turning yellow?,This could be due to root rots
beans,why are the roots turning into ashes?,This is because of Sclerotium (substance like ash developing on the plant base)
beans,why are the leaves folding even in a rainy season?,This can be an effect of bean common mosaic virus
beans,why are some leaves turning black and some parts not?,This could mean that your garden is infected with bean leaf rust disease
cassava,how can I prevent termites?,By soaking stems in pestcides before planting or by soil drenching using chemicals
cassava,what chemical can I use for planting cassava?,Imidacloprid
cassava,why are the leaves folding and looking damaged?,This can be caused by cassava mosaic virus (CMV)
cassava,why is the cassava segmented and having many fibres?,This is a side effect of cassava brown streak virus disease (CBSV)
cassava,why are the leaves turning reddish and yellowish?,This could be caused by cassava bacterial blight
cassava,why are the leaves drying up even when there is rain?,Your cassava could be infected by cassava bacterial blight
cassava,what is making the cassava rot under the ground?,This can be caused by cassava brown streak virus disease (CBSV) and also water logging
cassava,what can I use to spray cassava?,"Most chemicals are good for example Rocket, cypermethrin, dudu cyper, imidacloprid, etc"
beans,what insects are making holes in the bean's stem?,They are bean stem maggots
beans,why are there white insects (aphides) under the beans?,This happens before spraying the beans with pesticides and aphids keep feeding on plants
beans,why are the leaves turning yellow and folding?,This can be caused by bean common mosaic virus
maize,why do I only get low yields in maize?,"This can be a result of pests and diseases, planting poor variety or inappropriate spacing"
maize,what can I use to spray maize to get good yields?,One can use amdox
maize,why is the maize looking bad?,"This could be due to lack of nutrients, poor soils or no fertilizers applied in the garden"
beans,what pest is eating the bean stem from the bottom?,They are bean stem maggots
beans,how can I control the caterpillars that eat the top part of the leaves?,By spraying using chemicals (pesticides)
beans,how can I control the caterpillars that control the beans when flowering?,By spraying using chemicals (pesticides)
beans,"what is making holes on the bean pods, how can I control it?","They are bean pod borers, they can be controlled through spraying using pesticides"
cassava,what is eating the top part of the cassava which is just growing?,It is cassava mosaic virus
cassava,why are the cassava leaves folding?,This could be caused by cassava mosaic virus (CMV)
cassava,why are the cassava roots rotting?,This can be caused by cassava brown streak virus disease (CBSV) or  water logging
cassava,how can I maintain cassava in the garden?,"Ensure timely weeding, spraying with pesticides and uprooting diseased plants"
maize,what is digging this maize out when it is just germinating?,They could be squirrels
maize,why are the maize leaves turning yellow?,That is a sign of nutrient deficiency 
maize,how can I control the caterpillars that eat the seeds on the comb?,By spraying with chemicals (pesticides)
beans,what is causing the bean leaves to fold?,This can be due to root rots
beans,why are the bean leaves drying in early stages?,This can be caused by root rots
beans,how can I get high yeilds in beans?,"Through the application of organic manure, fertilizers"
beans,how can I determine good bean seeds for buying?,They should be well dried and should have no holes on them
cassava,which diseases affect cassava?,"Cassava mosaic virus disease (CMV), cassava brown streak virus disease (CBSV)"
cassava,why is the cassava stem over darkening?,This can be due to sooty moulds
cassava,why is cassava  bitter?,This is caused by high cyanide content
maize,why are there caterpillars in the maize garden?,They are feeding on maize
maize,how can I control pests and diseases in the garden?,By spraying with chemicals (pesticides)
maize,how can I get good maize yields?,"Early palnting, timely weeding, timely spraying and appropriate spacing"
maize,why are there weevils even after putting the maize in the sun?,"The eggs of weevils stick on the seeds and are not killed by the sun, therefore they keep viable"
cassava,how can I remove spear grass totally from the garden?,By spraying using herbicides
cassava,why are the cassava leaves bending and the stem looking damaged?,This is due to cassava brown streak virus
cassava,where can I get chemicals or herbicides for spraying?,From certified companies and distributors
beans,how can I store bean seeds for planting the next season?,Dry them well and keep them in silos or you can  also do seed dressing
beans,what is eating up the bean flowers?,The bean flower beetles
beans,when should I spray beans?,Before flowering and after flowering
beans,what should I do to the beans if the weather suddenly turns to hot or dry after planting?,Carry out mulching
maize,how can I prevent pest and diseases in maize?,By spraying with pesticides and practising crop-rotation also helps to reduce on pests and diseases
maize,when should I spray maize after planting?,After one month 
maize,why is maize not doing well in a rocky place?,Rocky places have low nutrient content and low water content
cassava,why are there always termites in the hole which I had dug for planting cassava?,This can be because it's soft and wet
cassava,why is the stem delaying to germinate?,Maybe it was young or covered with a lot of soil
cassava,why is the planted cassava stem drying up before germinating?,It could've been young or it was destroyed by termites
cassava,why is there no cassava in the roots?,This is a result of cassava brown streak virus
beans,how can I make sure that the bean seeds germinate?,By braking seed dormancy prior to planting
beans,why are some bean plants drying up even in the rainy season?,This is caused by root rots
beans,what is this white thing covering the bean stem?,It is Sclerotium disease (southern blight) caused by sclerotium rolfsii
beans,which insects attack beans in dry weather?,They are aphids
maize,can I also first soak the maize seed in water before planting?,"Yes, this brakes dormancy"
maize,how can I prevent digging pests and insects in the garden?,Soak the seeds with chemicals prior to planting
maize,when should I do the first spraying for maize?,One month after planting
maize,what insects attack maize in the garden?,Fall armyworm and stem borers
beans,how can I maintain bean crops in the dry season?,By irrigating and also by application of fertilizers
beans,why are the bean leaves yellowing? ,This can be due to nutrient deficiency or even pests and diseases
beans,why are the bean flowers over falling off?,"Due to the effect of bean flower beetle eating the flowers, flower thrips, can also be caused by water logging"
beans,why are some bean pods bending and yet some are straight?,Due to effect of bean golden mosaic virus (BGMV)
maize,what digs up maize when it is still germinating?,It could be squirrels or birds
maize,what is making holes on the maize leaves and killing the middle part or shoot of the maize ,Fall armyworm and stem borers
maize,how can I control termites in a maize garden?,Spray with chemicals
cassava,why are termites eating the planted cassava stem?,This is because cassava stems have nutrients in them and they are moist
cassava,what makes the cassava leaves look folded and damaged?,Cassava mosaic virus disease (CMV)
cassava,what makes the cassava roots so segmented and bitter?,Cassava brown streak virus (CBSV)
cassava,why are the roots of cassava bent and segmented?,This is caused by cassava brown streak virus disease (CBSV)
cassava,what brings worms in the inner part of the cassava root?,"Naturally nematodes parasites eat the plant roots but when the root is damaged by the virus, worms easily get in through the damaged part"
cassava,what is creating a cob web like thing on all the cassava leaves?,They are cassava green mites
cassava,why are the cassava stems looking damaged in the garden?,This are streaks caused by cassava brown streak virus
beans,which bean variety is good for planting?,"Most improved varieties e.g, Naro bean 1"
beans,why are the leaves looking like they are drying?,This is a result of root rots
beans,why are the bean roots looking like ash when I remove it?,This is due to sclerotium
maize,how can I control these caterpillars in the maize garden?,By spraying with chemicals (pesticides)
maize,what is eating the top part of the maize comb?,It's most likely the maize stem borers and fall army worms
maize,how can  I control maize diseases in the garden?,"Plant early at the start of the season, practice crop-rotation, uproot or spray diseased plants"
beans,how can I store beans after harvesting?,"Dry them well and keep them in silos, alternatively, carryout seed dressing"
beans,"if I put beans on cement, will it make it not to germinate?","Yes, on the cement, the beans will absorb moisture and rot due to high moisture content which causes them not to germinate."
beans,why are the bean seeds so small?,It may be due to stunted growth of beans which leads to small seeds or diseases
beans,what is cutting the stem of the young growing beans?,This could be happening due to the effect of root rots
maize,why do seeds from the middle of a maize comb germinate better?,This is because they are well developed compared to others in both ends.
maize,am I supposed to replace a garden with local maize after planting packed maize?,"No, replace maize with a crop in a different family"
maize,what is eating and putting holes on the maize stem?,Fall armyworm and stem borers
cassava,which cassava variety is good for planting?,It is narocas1 because it is currently tolerant to CBSV and resistant to CMV
cassava,why are the cassava roots in the garden rotting?,This can be an effect of cassava brown streak virus disease (CBSV) or water logging
cassava,what makes the inner part of cassava yellow?,Starch degradation
cassava,where can I get market for cassava?,"Cassava processing factories, brewing companies"
cassava,how can I acquire cassava stems in time?,Make orders earlier before the period of planting reaches
cassava,when should I plant cassava?,During the rain season
cassava,which month is good for planting cassava?,April in the first season  and september in the second season
cassava,why are the leaves of cassava folding a lot?,That is a side effect of cassava mosaic virus (CMV)
cassava,how can I determine a good cassava species?,"it should be high yielding, matures early, resistant to pest and diseases etc"
cassava,why are the cassava leaves yellowing?,"This could be caused by cassava brown streak virus disease (CBSV), cassava bacterial blight"
cassava,how can I get good market?,"Cassava processing factories, brewing companies"
cassava,how can I determine that my cassava is ready for harvesting?,"It should have spent a year after planting, the roots should be big "
maize,what are the varieties of maize?,"Bazooka, Longe 1, longe 3, longe 4, longe 2H, longe 5, etc"
maize,which weather is good for planting maize?,Rainy season
maize,how can I improve maize yields?,"Early planting, application of fertilizers, timely spraying, etc"
maize,how can I get a good market for maize?,"Supply to maize millers, animal feed processors, etc"
beans,what can I use for spraying beans?,One can use a knapsack sprayer
beans,what makes people spray beans?,People spray beans after seeing pests on the leaves
beans,what is the government doing to help farmers?,The government is giving free seeds to the farmers to improve livelihoods
beans,how can I plant beans cheaply at a less cost?,By practicing early planting and using locally available resources like home generated manure such as compost and cultural practices of fighting pests and diseases
cassava,why are the stems given by government getting infected so fast?,"In most cases, they do not test whether the stems are infected already before supplying and so they supply infected stems"
cassava,why is cassava price so low?,It's grown by many people and there are very few cassava processing plants and yet it goes bad faster after harvesting
cassava,Is it good to make alcohol from cassava?,"Yes, alcohol from cassava is as good as that from other substrates"
cassava,what causes the cassava to fold and become segmented?,Cassava brown streak virus (CBSV)
cassava,where can I get good chemicals for spraying cassava?,From certified companies and distributors of pesticides
beans,"what diseases attack beans, how can I control it?","Bean root rots attack beans and can be controlled by spraying to eliminate the bean fly, can also be controlled by crop-rotation to break disease cycle "
beans,what makes beans price so low here?,It's because almost every household grows beans especially in village setting and they are regarded as a crop for the poor
beans,why do I always need to spray my beans in order to get good yields?,"Spraying eliminates pests which most of the times are the vectors of most diseases. When pests and diseases are eliminated, then bean yields will increase."
maize,why is the maize given by government only giving good yields on first planting?,It is F1 and the quality detoriorates at F2 and above generations
maize,why is maize of this days easily affected by pests and diseases?,It is bred for high yield and not resistance to pests and diseases
maize,how can I sell my maize at a good price?,Avoid to sell immediatelly after a bumper harvest but wait and sell when most farmers have sold their maize
cassava,how can I prevent long grass in my garden?,"By weeding in time, spraying using selective herbicides"
cassava,how much do groups here charge for digging a garden?,"It is 50,000 /= per acre"
cassava,Can I use chemicals to kill weeds in a cassava garden?,"Yes, there  are some chemicals that are selective"
cassava,why are the leaves looking ugly and unhealthy?,Due to pest and diseases.
cassava,what makes the cassava body not to be smooth but folded?,Cassava brown streak virus (CBSV) in roots and cassava mosaic virus on leaves
beans,Is deep digging the best way to prepare a garden for planting beans?,"Yes, because deep digging exposes pests barrowing in the soil which are then killed by the hostile environment or eaten by predators "
beans,what chemical can I use to spray beans at a flowering stage?,"Most chemicals are good for example Rocket, cypermethrin, dudu cyper, imidacloprid, etc"
beans,Can I use chemicals to control weeds when beans are just germinating?,"No, the herbicides will kill the young beans"
beans,how can I control what is making the beans dry?,"Practice crop rotation, plant early and spray at the right time"
beans,what can I do to make the folded leaves open?,"If it is due to a viral disease, there is no way  because there is no solution yet for the viral diseases especially in healing the already sick plant."
maize,what is eating this maize which is just germinating?,Fall armyworm or stem borers
maize,what can I use for spraying this caterpillars in the maize garden?,Use pesticides
maize,what makes my maize put only one comb and yet other people plant and get more than one comb?,Low nutrient content in the soil and planting of low yielding variety
maize,which variety is good for planting to get high yields?,"Bazooka, Longe 1, longe 3, longe 4, longe 2H, longe 5, etc"
maize,where do this caterpillars that eat the maize come from?,"The adult (moth) lays eggs on the leaves and after hatching, caterpillars eat maize"
maize,why is the maize price so low?,Most people grow maize and sell immediately after a bumper harvest
maize,what makes maize to be sold at a very low price sometimes?,Farmers sell their maize immediately after a bumper harvest
cassava,why do some cassava variety rot in the ground?,This can be a result of cassava brown streak virus disease (CBSV) or water logging
cassava,what damage do hell stones do to cassava?,They brake the cassava leaves and sometimes stems
cassava,why is the market price so low for cassava?,"Because it is grown by many people, it goes bad faster after harvesting, there are very few cassava processing plants"
beans,when do I need to spray beans?,Spraying should be done before and after flowering
beans,what stage is the best for spraying beans?,The best time is before flowering stage
beans,how can I plant beans in dry weather or season?,Through the application of irrigation and mulching
beans,how can I maintain beans in the garden during dry weather?,Through application of mulching
beans,how can I control these caterpillars which is making the bean leaves fold?,By spraying chemicals (pesticides)
beans,how can I use my eyes to see that a seed is good for planting before buying?,By checking if the beans are not having holes on them. Also by checking that the beans have no fungal growth on them.
maize,what are these long small caterpillars eating the maize in my garden?,Fall armyworm or stem borers
maize,why is my maize not looking healthy and turning reddish?,There could be a high sugar concentration in the leaves
maize,how best can I transport maize?,it should be packed in sacks
cassava,what is making the cassava leaves so small and ugly?,Cassava mosaic virus disease (CMV)
cassava,what disease makes the cassava have things like stones?,Cassava brown streak virus (CBSV)
cassava,how  can I control cassava diseases locally?,"By planting clean material, uprooting and burning diseased material"
beans,where can I get a cheap and effective chemical for spraying?,By buying the chemical from certified chemical distributors and dealers.
cassava,how can I access cheaper labour for planting?,Human labour is cheaper
cassava,what are the good practices when weeding cassava? ,"Do not dig deeper to cut cassava roots, extend the soil to the root area"
cassava,how can I stop cassava leaves from folding?,Plant uninfected plant material without cassava mosaic virus
cassava,how can I stop cassava roots from folding?,Plant materials free from cassava brown streak disease
maize,how can I properly prepare a garden for planting maize?,Dig twice to break hard bigger soil lumps and remove all the rough residues
maize,how can I stop caterpillars from eating the maize leaves?,Timely spraying of pesticides
maize,how can I sell maize at a good price?,Avoid to sell immediately after the bumper harvest
beans,how can I make sure that my seeds are always available for planting?,"By storing them appropriately e.g, adquate drying and keep them in silos or when seed dressed to avoid storage pests."
beans,"what is the best way of planting beans, scattering or in lines?",Planting in lines is better because they makes it easy for garden maintenance 
beans,which insects spoil beans when am about to harvest them?,Bean weevils can even begin while beans are in the gardens.
beans,which month is good for planting beans?,It is April in first season at the start of the rains and september in the second season at the start of the rains
beans,what is making the bean leaves have spots?,Bean leaf rust
beans,what is making the bean leaves look like they are burning?,This could be root rots
beans,how can I control these long small caterpillars that are affecting beans?,By spraying with chemicals (pesticides)
maize,what kind of caterpillars make holes on the maize leaves?,Fall armyworm or stem borers
maize,what can I use to control caterpillars eating the middle part of the maize plant?,Spray with chemicals
maize,why are the maize leaves turning so yellow?,Nutrient deficiency
maize,what makes the maize comb to be so small?,Nutrient deficiency
cassava,what can I use to control diseases making cassava leaves yellow?,Plant uninfected plant material
cassava,what makes holes on the cassava and causes it to rot?,Rats eat cassava and make it rot
cassava,how can I tell that a cassava plant is infected?,By checking for yellowing in the leaf veins for CBSV and folding of leaves for CMV
maize,how can I maintain maize in the dry seasons?,"By mulching, application of fertilizers and irrigation"
maize,what can I use to control maize diseases?,"Crop-rotation, planting seeds from certified seed companies"
maize,how can I plant when there is less rain to avoid femine?,"Use mulching, irrigation, apply fertilizers"
maize,which soil is good for planting maize?,Loam soil
beans,how can I control diseases in beans?,By applying crop-rotation to break disease cycle
beans,how can I maintain beans in the dry seasons?,By application of mulching
beans,what type of soil is good for planting beans?,It is loam soil
cassava,how can I control diseases that make the cassava leaves fold?,Plant clean material
cassava,which variety of cassava gives high yields?,Narocas1
cassava,how can I maintain cassava in dry seasons?,"Mulching, irrigation"
cassava,how can I plant a cassava stem in a way that prevents termites from attacking it?,First soak the stems in pesticides
cassava,which diseases make the cassava stem to darken and cassava to rot?,Cassava brown streak virus (CBSV)
cassava,how can I get high yields in a land which is tired of crops?,Apply manure and fertilizers
beans,what makes the beans not to germinate?,Seed dormancy and poor storage
beans,what caterpillars eat the bean flowers?,They are cut worms
beans,what eats the cotolydon from the ground during germination?,"They are bean pest e.g, cut worms, also the birds pick out germinated seeds"
beans,what can I use to control birds from digging out the planted seeds?,"By scaring the birds using the scare craws, also by physically chasing away the birds from the gardens of beans"
maize,what caterpillar is eating the middle part of maize?,Fall armyworm or stem borers
maize,"caterpillars are eating the middle part of the maize, how can I stop it?",Spray with pesticides 
maize,what can I use to stop monkeys from eating my maize?,Tie dogs around the garden
maize,what eats the maize when it puts a comb?,Birds
maize,how can I prevent rats from digging out the seeds?,Soak the seeds with chemicals prior to planting
cassava,are there cassava varieties that are resistant to termites?,"No, termites eat all varieties"
cassava,what is cutting the germinating cassava from the ground?,They could are termites
cassava,what is making the roots to have only few cassava?,Your garden could be inffected with diseases
cassava,which variety can be harvested several times?,All cassava varieties
maize,what is barrowing holes on the stems?,Fall armyworm or stem borers
maize,how can I kill this caterpillar which is cutting maize from the ground?,Spray using pesticides
maize,where do weevils come from to attack stored maize?,The adult weevils lay eggs on the maize when still in the garden
beans,how can I know that a bean seed has a good germination rate?,By carrying out germination test
beans,"what is eating the flowers, is it an insect or a caterpillar?",Both can eat the flowers
beans,how can I get very many seeds on harvest when I plant beans?,"Ensure good agronomic practices like early planting, early weeding, proper control of pest and diseases."
beans,what is making the roots form balls and be like ashes?,They are root nodules formed by nitrogen fixing bacteria
beans,what are these flying things that are eating the flowers?,They are flower beetles and flower thrips
beans,what has attacked my garden eating all the leaves like an insect?,They are insects
beans,At what stage should I weed the beans?,It should be three weeks after planting
maize,which caterpillars are eating the middle part of the maize?,Fall armyworm or stem borers
maize,what is making my maize fall down in the entire garden?,There could be termites eating their roots 
maize,what are the effects of weeds in the garden?,"Weeds competite for nutrients, space and habour pests "
cassava,what really makes the cassava to rot in the garden?,"Cassava brown streak disease, water logging and sometimes rats damage the roots"
cassava,what is making cassava get folded leaves at some stage?,Cassava mosaic virus disease (CMV)
cassava,what is the right spacing for planting cassava?,1meter X 1meter
cassava,what brings diseases on the roots?,Cassava brown streak virus (CBSV) affects all part of the cassava
cassava,does prolonged drought affect cassava a lot?,Yes
cassava,how can I repair cassava crops hit by hell stones?,Leave them to regenerate
cassava,where is good market for cassava?,"Cassava processing factories, brewing companies"
beans,how can I over come sunshine ?,By application of mulching
beans,which diseases cause the leaves to fold?,"It is bean common mosaic disease, bean pod mottle virus disease, etc"
beans,which green caterpillars are these producing on the leaves of beans?,They are cut worms
maize,how can I control these caterpillars forming on the leaves?,Spray with chemicals
maize,how can I stop caterpillars from eating the maize seed? ,Spray with chemicals
maize,which chemicals can I use for spraying the garden?,"Most chemicals are good for example Rocket, cypermethrin, dudu cyper, imidacloprid, etc"
maize,why do some seeds give poor yields?,They are low yielding varieties
maize,how can I get good harvest when in dry weather?,"By mulching, application of fertilizers and irrigation"
maize,how can I get a good estimate of yield from my garden?,"First know how big the garden is, then the spacing used while planting"
maize,what are the side effects of using chemicals for spraying?,"They get absorbed by the plants and are deposited in plant tissues, they can be poisonous to the one spraying also"
maize,how can I best dry my maize in rainy seasons?,Use a solar drier
beans,which month is good for planting beans?,It is April in first season at the start of the rains and september in the second season at the start of the rains
beans,why do I get low yields on a vary large piece of land?,"It can be  due to failure to control pest and diseases, late planting in the season, poor plant spacing, etc"
beans,how can I over come drought?,"By application of mulching, irrigation and planting drought resistant seeds"
beans,when can I plant early in a season?,At the start of the first seasonal rains
cassava,how can I get good yields in prolonged drought?,"Use mulching, irrigation"
cassava,why are the roots not having cassava?,This can be an effect of cassava brown streak virus disease (CBSV)
cassava,how can I best control diseases in the garden?,Plant clean material
cassava,where can I get a high market with high price?,"Cassava processing factories, brewing companies"
maize,where can I access good and cheap super grow?,From certified companies and distributors
beans,how can I plant beans with less capital?,"Use your own generated seed, use home generated manure and do early planting"
beans,how can I prevent diseases from attacking beans?,"By planting early, By practicing crop-rotation, etc"
beans,how can I plant in dry seasons?,"By application of mulching, irrigation and planting drought resistant seeds"
beans,how can I sell when the price is good enough?,By avoiding to sell beans when the farmers have just finished harvesting. At least wait for some time when most farmers have sold their produce and then you sell yours.
maize,which diseases attack maize and how can I control them?,"Bacterial leaf blight and stalk rot, Bacterial leaf spot, Bacterial stalk rot, Bacterial stalk and top rot, Bacterial stripe, Stewart's disease, maize streak disease, etc, Use crop-rotation to control disease"
maize,how do I harvest maize in rainny seasons?,Harvest maize and transport it in sacks avoiding contact with mud and dry it using a solar drier
maize,what makes the price to drop?,A bumper harvest
cassava,which diseases attack cassava and make it bad to eat?,Cassava brown streak virus (CBSV)
cassava,what effect does drought has on cassava?,leaves are removed which causes a reduction in starch content
cassava,can diseases remain in a cut stem?,Yes
